SCALAR_FUNCTION_CARTESIAN_2D
example3_wpf_surface2
x1: -10
x2: 10
NumPointsX: 50
y1: -10
_secDerY: 10
NumPointsY: 50
3.87755 -9.18367 3.25804
3.87755 -8.77551 4.00863
3.87755 -8.36735 3.29545
3.87755 -7.95918 0.880779
3.87755 -7.55102 -3.00295
3.87755 -7.14286 -7.66437
3.87755 -6.73469 -12.0755
3.87755 -6.32653 -15.0837
3.87755 -5.91837 -15.6714
3.87755 -5.5102 -13.2093
3.87755 -5.10204 -7.64692
3.87755 -4.69388 0.403676
3.87755 -4.28571 9.71943
3.87755 -3.87755 18.6506
3.87755 -3.46939 25.4116
3.87755 -3.06122 28.4262
3.87755 -2.65306 26.6636
3.87755 -2.2449 19.8952
3.87755 -1.83673 8.81767
3.87755 -1.42857 -4.99349
3.87755 -1.02041 -19.3025
3.87755 -0.612245 -31.5752
3.87755 -0.204082 -39.4256
3.87755 0.204082 -39.4256
3.87755 0.612245 -31.5752
3.87755 1.02041 -19.3025
3.87755 1.42857 -4.99349
3.87755 1.83673 8.81767
3.87755 2.2449 19.8952
3.87755 2.65306 26.6636
3.87755 3.06122 28.4262
3.87755 3.46939 25.4116
3.87755 3.87755 18.6506
3.87755 4.28571 9.71943
3.87755 4.69388 0.403676
3.87755 5.10204 -7.64692
3.87755 5.5102 -13.2093
3.87755 5.91837 -15.6714
3.87755 6.32653 -15.0837
3.87755 6.73469 -12.0755
3.87755 7.14286 -7.66437
3.87755 7.55102 -3.00295
3.87755 7.95918 0.880779
3.87755 8.36735 3.29545
3.87755 8.77551 4.00863
3.87755 9.18367 3.25804
3.87755 9.59184 1.65419
3.87755 10 -0
4.28571 -10 -0
4.28571 -9.59184 2.0937
4.28571 -9.18367 4.12369
4.28571 -8.77551 5.0737
4.28571 -8.36735 4.17103
4.28571 -7.95918 1.1148
4.28571 -7.55102 -3.80082
4.28571 -7.14286 -9.70075
4.28571 -6.73469 -15.2839
4.28571 -6.32653 -19.0914
4.28571 -5.91837 -19.8352
4.28571 -5.5102 -16.7189
4.28571 -5.10204 -9.67865
4.28571 -4.69388 0.51093
4.28571 -4.28571 12.3018
4.28571 -3.87755 23.606
4.28571 -3.46939 32.1633
4.28571 -3.06122 35.9789
4.28571 -2.65306 33.7479
4.28571 -2.2449 25.1812
4.28571 -1.83673 11.1605
4.28571 -1.42857 -6.32023
4.28571 -1.02041 -24.4311
4.28571 -0.612245 -39.9646
4.28571 -0.204082 -49.9007
4.28571 0.204082 -49.9007
4.28571 0.612245 -39.9646
4.28571 1.02041 -24.4311
4.28571 1.42857 -6.32023
4.28571 1.83673 11.1605
4.28571 2.2449 25.1812
4.28571 2.65306 33.7479
4.28571 3.06122 35.9789
4.28571 3.46939 32.1633
4.28571 3.87755 23.606
4.28571 4.28571 12.3018
4.28571 4.69388 0.51093
4.28571 5.10204 -9.67865
4.28571 5.5102 -16.7189
4.28571 5.91837 -19.8352
4.28571 6.32653 -19.0914
4.28571 6.73469 -15.2839
4.28571 7.14286 -9.70075
4.28571 7.55102 -3.80082
4.28571 7.95918 1.1148
4.28571 8.36735 4.17103
4.28571 8.77551 5.0737
4.28571 9.18367 4.12369
4.28571 9.59184 2.0937
4.28571 10 -0
4.69388 -10 -0
4.69388 -9.59184 2.13525
4.69388 -9.18367 4.20552
4.69388 -8.77551 5.17438
4.69388 -8.36735 4.2538
4.69388 -7.95918 1.13692
4.69388 -7.55102 -3.87624
4.69388 -7.14286 -9.89325
4.69388 -6.73469 -15.5872
4.69388 -6.32653 -19.4702
4.69388 -5.91837 -20.2289
4.69388 -5.5102 -17.0506
4.69388 -5.10204 -9.87072
4.69388 -4.69388 0.521069
4.69388 -4.28571 12.5459
4.69388 -3.87755 24.0744
4.69388 -3.46939 32.8015
4.69388 -3.06122 36.6929
4.69388 -2.65306 34.4177
4.69388 -2.2449 25.681
4.69388 -1.83673 11.3819
4.69388 -1.42857 -6.44565
4.69388 -1.02041 -24.9159
4.69388 -0.612245 -40.7576
4.69388 -0.204082 -50.8909
4.69388 0.204082 -50.8909
4.69388 0.612245 -40.7576
4.69388 1.02041 -24.9159
4.69388 1.42857 -6.44565
4.69388 1.83673 11.3819
4.69388 2.2449 25.681
4.69388 2.65306 34.4177
4.69388 3.06122 36.6929
4.69388 3.46939 32.8015
4.69388 3.87755 24.0744
4.69388 4.28571 12.5459
4.69388 4.69388 0.521069
4.69388 5.10204 -9.87072
4.69388 5.5102 -17.0506
4.69388 5.91837 -20.2289
4.69388 6.32653 -19.4702
4.69388 6.73469 -15.5872
4.69388 7.14286 -9.89325
4.69388 7.55102 -3.87624
4.69388 7.95918 1.13692
4.69388 8.36735 4.2538
4.69388 8.77551 5.17438
4.69388 9.18367 4.20552
4.69388 9.59184 2.13525
4.69388 10 -0
5.10204 -10 -0
5.10204 -9.59184 1.82357
5.10204 -9.18367 3.59164
5.10204 -8.77551 4.41908
5.10204 -8.36735 3.63287
5.10204 -7.95918 0.970964
5.10204 -7.55102 -3.31043
5.10204 -7.14286 -8.44914
5.10204 -6.73469 -13.3119
5.10204 -6.32653 -16.6282
5.10204 -5.91837 -17.2761
5.10204 -5.5102 -14.5618
5.10204 -5.10204 -8.4299
5.10204 -4.69388 0.445009
5.10204 -4.28571 10.7146
5.10204 -3.87755 20.5603
5.10204 -3.46939 28.0135
5.10204 -3.06122 31.3368
5.10204 -2.65306 29.3937
5.10204 -2.2449 21.9323
5.10204 -1.83673 9.72053
5.10204 -1.42857 -5.50478
5.10204 -1.02041 -21.2789
5.10204 -0.612245 -34.8083
5.10204 -0.204082 -43.4624
5.10204 0.204082 -43.4624
5.10204 0.612245 -34.8083
5.10204 1.02041 -21.2789
5.10204 1.42857 -5.50478
5.10204 1.83673 9.72053
5.10204 2.2449 21.9323
5.10204 2.65306 29.3937
5.10204 3.06122 31.3368
5.10204 3.46939 28.0135
5.10204 3.87755 20.5603
5.10204 4.28571 10.7146
5.10204 4.69388 0.445009
5.10204 5.10204 -8.4299
5.10204 5.5102 -14.5618
5.10204 5.91837 -17.2761
5.10204 6.32653 -16.6282
5.10204 6.73469 -13.3119
5.10204 7.14286 -8.44914
5.10204 7.55102 -3.31043
5.10204 7.95918 0.970964
5.10204 8.36735 3.63287
5.10204 8.77551 4.41908
5.10204 9.18367 3.59164
5.10204 9.59184 1.82357
5.10204 10 -0
5.5102 -10 -0
5.5102 -9.59184 1.26182
5.5102 -9.18367 2.48524
5.5102 -8.77551 3.05779
5.5102 -8.36735 2.51377
5.5102 -7.95918 0.671859
5.5102 -7.55102 -2.29065
5.5102 -7.14286 -5.84639
5.5102 -6.73469 -9.21121
5.5102 -6.32653 -11.5059
5.5102 -5.91837 -11.9542
5.5102 -5.5102 -10.076
5.5102 -5.10204 -5.83307
5.5102 -4.69388 0.307924
5.5102 -4.28571 7.41399
5.5102 -3.87755 14.2267
5.5102 -3.46939 19.384
5.5102 -3.06122 21.6835
5.5102 -2.65306 20.339
5.5102 -2.2449 15.1761
5.5102 -1.83673 6.72613
5.5102 -1.42857 -3.80904
5.5102 -1.02041 -14.724
5.5102 -0.612245 -24.0856
5.5102 -0.204082 -30.0739
5.5102 0.204082 -30.0739
5.5102 0.612245 -24.0856
5.5102 1.02041 -14.724
5.5102 1.42857 -3.80904
5.5102 1.83673 6.72613
5.5102 2.2449 15.1761
5.5102 2.65306 20.339
5.5102 3.06122 21.6835
5.5102 3.46939 19.384
5.5102 3.87755 14.2267
5.5102 4.28571 7.41399
5.5102 4.69388 0.307924
5.5102 5.10204 -5.83307
5.5102 5.5102 -10.076
5.5102 5.91837 -11.9542
5.5102 6.32653 -11.5059
5.5102 6.73469 -9.21121
5.5102 7.14286 -5.84639
5.5102 7.55102 -2.29065
5.5102 7.95918 0.671859
5.5102 8.36735 2.51377
5.5102 8.77551 3.05779
5.5102 9.18367 2.48524
5.5102 9.59184 1.26182
5.5102 10 -0
5.91837 -10 -0
5.91837 -9.59184 0.586109
5.91837 -9.18367 1.15438
5.91837 -8.77551 1.42033
5.91837 -8.36735 1.16764
5.91837 -7.95918 0.312076
5.91837 -7.55102 -1.064
5.91837 -7.14286 -2.71563
5.91837 -6.73469 -4.27857
5.91837 -6.32653 -5.34444
5.91837 -5.91837 -5.55267
5.91837 -5.5102 -4.68027
5.91837 -5.10204 -2.70944
5.91837 -4.69388 0.14303
5.91837 -4.28571 3.44377
5.91837 -3.87755 6.60826
5.91837 -3.46939 9.00378
5.91837 -3.06122 10.0719
5.91837 -2.65306 9.44739
5.91837 -2.2449 7.04923
5.91837 -1.83673 3.12426
5.91837 -1.42857 -1.76928
5.91837 -1.02041 -6.83922
5.91837 -0.612245 -11.1877
5.91837 -0.204082 -13.9692
5.91837 0.204082 -13.9692
5.91837 0.612245 -11.1877
5.91837 1.02041 -6.83922
5.91837 1.42857 -1.76928
5.91837 1.83673 3.12426
5.91837 2.2449 7.04923
5.91837 2.65306 9.44739
5.91837 3.06122 10.0719
5.91837 3.46939 9.00378
5.91837 3.87755 6.60826
5.91837 4.28571 3.44377
5.91837 4.69388 0.14303
5.91837 5.10204 -2.70944
5.91837 5.5102 -4.68027
5.91837 5.91837 -5.55267
5.91837 6.32653 -5.34444
5.91837 6.73469 -4.27857
5.91837 7.14286 -2.71563
5.91837 7.55102 -1.064
5.91837 7.95918 0.312076
5.91837 8.36735 1.16764
5.91837 8.77551 1.42033
5.91837 9.18367 1.15438
5.91837 9.59184 0.586109
5.91837 10 -0
6.32653 -10 0
6.32653 -9.59184 -0.064066
6.32653 -9.18367 -0.126182
6.32653 -8.77551 -0.155252
6.32653 -8.36735 -0.127631
6.32653 -7.95918 -0.0341122
6.32653 -7.55102 0.116303
6.32653 -7.14286 0.296838
6.32653 -6.73469 0.467679
6.32653 -6.32653 0.584186
6.32653 -5.91837 0.606947
6.32653 -5.5102 0.511588
6.32653 -5.10204 0.296161
6.32653 -4.69388 -0.0156342
6.32653 -4.28571 -0.376429
6.32653 -3.87755 -0.72233
6.32653 -3.46939 -0.984178
6.32653 -3.06122 -1.10093
6.32653 -2.65306 -1.03267
6.32653 -2.2449 -0.770532
6.32653 -1.83673 -0.341504
6.32653 -1.42857 0.193395
6.32653 -1.02041 0.747577
6.32653 -0.612245 1.22289
6.32653 -0.204082 1.52693
6.32653 0.204082 1.52693
6.32653 0.612245 1.22289
6.32653 1.02041 0.747577
6.32653 1.42857 0.193395
6.32653 1.83673 -0.341504
6.32653 2.2449 -0.770532
6.32653 2.65306 -1.03267
6.32653 3.06122 -1.10093
6.32653 3.46939 -0.984178
6.32653 3.87755 -0.72233
6.32653 4.28571 -0.376429
6.32653 4.69388 -0.0156342
6.32653 5.10204 0.296161
6.32653 5.5102 0.511588
6.32653 5.91837 0.606947
6.32653 6.32653 0.584186
6.32653 6.73469 0.467679
6.32653 7.14286 0.296838
6.32653 7.55102 0.116303
6.32653 7.95918 -0.0341122
6.32653 8.36735 -0.127631
6.32653 8.77551 -0.155252
6.32653 9.18367 -0.126182
6.32653 9.59184 -0.064066
6.32653 10 0
6.73469 -10 0
6.73469 -9.59184 -0.573426
6.73469 -9.18367 -1.1294
6.73469 -8.77551 -1.38959
6.73469 -8.36735 -1.14237
6.73469 -7.95918 -0.305323
6.73469 -7.55102 1.04098
6.73469 -7.14286 2.65686
6.73469 -6.73469 4.18598
6.73469 -6.32653 5.22878
6.73469 -5.91837 5.43252
6.73469 -5.5102 4.579
6.73469 -5.10204 2.65081
6.73469 -4.69388 -0.139935
6.73469 -4.28571 -3.36925
6.73469 -3.87755 -6.46526
6.73469 -3.46939 -8.80894
6.73469 -3.06122 -9.85397
6.73469 -2.65306 -9.24296
6.73469 -2.2449 -6.89669
6.73469 -1.83673 -3.05665
6.73469 -1.42857 1.731
6.73469 -1.02041 6.69123
6.73469 -0.612245 10.9456
6.73469 -0.204082 13.6669
6.73469 0.204082 13.6669
6.73469 0.612245 10.9456
6.73469 1.02041 6.69123
6.73469 1.42857 1.731
6.73469 1.83673 -3.05665
6.73469 2.2449 -6.89669
6.73469 2.65306 -9.24296
6.73469 3.06122 -9.85397
6.73469 3.46939 -8.80894
6.73469 3.87755 -6.46526
6.73469 4.28571 -3.36925
6.73469 4.69388 -0.139935
6.73469 5.10204 2.65081
6.73469 5.5102 4.579
6.73469 5.91837 5.43252
6.73469 6.32653 5.22878
6.73469 6.73469 4.18598
6.73469 7.14286 2.65686
6.73469 7.55102 1.04098
6.73469 7.95918 -0.305323
6.73469 8.36735 -1.14237
6.73469 8.77551 -1.38959
6.73469 9.18367 -1.1294
6.73469 9.59184 -0.573426
6.73469 10 0
7.14286 -10 0
7.14286 -9.59184 -0.871231
7.14286 -9.18367 -1.71595
7.14286 -8.77551 -2.11127
7.14286 -8.36735 -1.73565
7.14286 -7.95918 -0.46389
7.14286 -7.55102 1.5816
7.14286 -7.14286 4.03668
7.14286 -6.73469 6.35994
7.14286 -6.32653 7.94432
7.14286 -5.91837 8.25385
7.14286 -5.5102 6.95706
7.14286 -5.10204 4.02749
7.14286 -4.69388 -0.212609
7.14286 -4.28571 -5.11904
7.14286 -3.87755 -9.82294
7.14286 -3.46939 -13.3838
7.14286 -3.06122 -14.9716
7.14286 -2.65306 -14.0432
7.14286 -2.2449 -10.4784
7.14286 -1.83673 -4.6441
7.14286 -1.42857 2.62998
7.14286 -1.02041 10.1663
7.14286 -0.612245 16.6301
7.14286 -0.204082 20.7647
7.14286 0.204082 20.7647
7.14286 0.612245 16.6301
7.14286 1.02041 10.1663
7.14286 1.42857 2.62998
7.14286 1.83673 -4.6441
7.14286 2.2449 -10.4784
7.14286 2.65306 -14.0432
7.14286 3.06122 -14.9716
7.14286 3.46939 -13.3838
7.14286 3.87755 -9.82294
7.14286 4.28571 -5.11904
7.14286 4.69388 -0.212609
7.14286 5.10204 4.02749
7.14286 5.5102 6.95706
7.14286 5.91837 8.25385
7.14286 6.32653 7.94432
7.14286 6.73469 6.35994
7.14286 7.14286 4.03668
7.14286 7.55102 1.5816
7.14286 7.95918 -0.46389
7.14286 8.36735 -1.73565
7.14286 8.77551 -2.11127
7.14286 9.18367 -1.71595
7.14286 9.59184 -0.871231
7.14286 10 0
7.55102 -10 0
7.55102 -9.59184 -0.940777
7.55102 -9.18367 -1.85293
7.55102 -8.77551 -2.2798
7.55102 -8.36735 -1.8742
7.55102 -7.95918 -0.50092
7.55102 -7.55102 1.70785
7.55102 -7.14286 4.35891
7.55102 -6.73469 6.86763
7.55102 -6.32653 8.57847
7.55102 -5.91837 8.91272
7.55102 -5.5102 7.51241
7.55102 -5.10204 4.34898
7.55102 -4.69388 -0.22958
7.55102 -4.28571 -5.52767
7.55102 -3.87755 -10.6071
7.55102 -3.46939 -14.4522
7.55102 -3.06122 -16.1667
7.55102 -2.65306 -15.1642
7.55102 -2.2449 -11.3149
7.55102 -1.83673 -5.01482
7.55102 -1.42857 2.83991
7.55102 -1.02041 10.9778
7.55102 -0.612245 17.9576
7.55102 -0.204082 22.4223
7.55102 0.204082 22.4223
7.55102 0.612245 17.9576
7.55102 1.02041 10.9778
7.55102 1.42857 2.83991
7.55102 1.83673 -5.01482
7.55102 2.2449 -11.3149
7.55102 2.65306 -15.1642
7.55102 3.06122 -16.1667
7.55102 3.46939 -14.4522
7.55102 3.87755 -10.6071
7.55102 4.28571 -5.52767
7.55102 4.69388 -0.22958
7.55102 5.10204 4.34898
7.55102 5.5102 7.51241
7.55102 5.91837 8.91272
7.55102 6.32653 8.57847
7.55102 6.73469 6.86763
7.55102 7.14286 4.35891
7.55102 7.55102 1.70785
7.55102 7.95918 -0.50092
7.55102 8.36735 -1.8742
7.55102 8.77551 -2.2798
7.55102 9.18367 -1.85293
7.55102 9.59184 -0.940777
7.55102 10 0
7.95918 -10 0
7.95918 -9.59184 -0.816848
7.95918 -9.18367 -1.60884
7.95918 -8.77551 -1.97948
7.95918 -8.36735 -1.62731
7.95918 -7.95918 -0.434934
7.95918 -7.55102 1.48287
7.95918 -7.14286 3.78471
7.95918 -6.73469 5.96295
7.95918 -6.32653 7.44843
7.95918 -5.91837 7.73864
7.95918 -5.5102 6.5228
7.95918 -5.10204 3.77609
7.95918 -4.69388 -0.199337
7.95918 -4.28571 -4.79951
7.95918 -3.87755 -9.20979
7.95918 -3.46939 -12.5484
7.95918 -3.06122 -14.037
7.95918 -2.65306 -13.1666
7.95918 -2.2449 -9.82437
7.95918 -1.83673 -4.35422
7.95918 -1.42857 2.46581
7.95918 -1.02041 9.53168
7.95918 -0.612245 15.592
7.95918 -0.204082 19.4686
7.95918 0.204082 19.4686
7.95918 0.612245 15.592
7.95918 1.02041 9.53168
7.95918 1.42857 2.46581
7.95918 1.83673 -4.35422
7.95918 2.2449 -9.82437
7.95918 2.65306 -13.1666
7.95918 3.06122 -14.037
7.95918 3.46939 -12.5484
7.95918 3.87755 -9.20979
7.95918 4.28571 -4.79951
7.95918 4.69388 -0.199337
7.95918 5.10204 3.77609
7.95918 5.5102 6.5228
7.95918 5.91837 7.73864
7.95918 6.32653 7.44843
7.95918 6.73469 5.96295
7.95918 7.14286 3.78471
7.95918 7.55102 1.48287
7.95918 7.95918 -0.434934
7.95918 8.36735 -1.62731
7.95918 8.77551 -1.97948
7.95918 9.18367 -1.60884
7.95918 9.59184 -0.816848
7.95918 10 0
8.36735 -10 0
8.36735 -9.59184 -0.572408
8.36735 -9.18367 -1.1274
8.36735 -8.77551 -1.38713
8.36735 -8.36735 -1.14034
8.36735 -7.95918 -0.30478
8.36735 -7.55102 1.03913
8.36735 -7.14286 2.65214
8.36735 -6.73469 4.17855
8.36735 -6.32653 5.2195
8.36735 -5.91837 5.42287
8.36735 -5.5102 4.57086
8.36735 -5.10204 2.6461
8.36735 -4.69388 -0.139686
8.36735 -4.28571 -3.36326
8.36735 -3.87755 -6.45377
8.36735 -3.46939 -8.79329
8.36735 -3.06122 -9.83646
8.36735 -2.65306 -9.22654
8.36735 -2.2449 -6.88444
8.36735 -1.83673 -3.05122
8.36735 -1.42857 1.72792
8.36735 -1.02041 6.67934
8.36735 -0.612245 10.9261
8.36735 -0.204082 13.6426
8.36735 0.204082 13.6426
8.36735 0.612245 10.9261
8.36735 1.02041 6.67934
8.36735 1.42857 1.72792
8.36735 1.83673 -3.05122
8.36735 2.2449 -6.88444
8.36735 2.65306 -9.22654
8.36735 3.06122 -9.83646
8.36735 3.46939 -8.79329
8.36735 3.87755 -6.45377
8.36735 4.28571 -3.36326
8.36735 4.69388 -0.139686
8.36735 5.10204 2.6461
8.36735 5.5102 4.57086
8.36735 5.91837 5.42287
8.36735 6.32653 5.2195
8.36735 6.73469 4.17855
8.36735 7.14286 2.65214
8.36735 7.55102 1.03913
8.36735 7.95918 -0.30478
8.36735 8.36735 -1.14034
8.36735 8.77551 -1.38713
8.36735 9.18367 -1.1274
8.36735 9.59184 -0.572408
8.36735 10 0
8.77551 -10 0
8.77551 -9.59184 -0.297969
8.77551 -9.18367 -0.586871
8.77551 -8.77551 -0.722073
8.77551 -8.36735 -0.593608
8.77551 -7.95918 -0.158654
8.77551 -7.55102 0.540921
8.77551 -7.14286 1.38058
8.77551 -6.73469 2.17516
8.77551 -6.32653 2.71703
8.77551 -5.91837 2.82289
8.77551 -5.5102 2.37938
8.77551 -5.10204 1.37744
8.77551 -4.69388 -0.072714
8.77551 -4.28571 -1.75076
8.77551 -3.87755 -3.35953
8.77551 -3.46939 -4.57738
8.77551 -3.06122 -5.12041
8.77551 -2.65306 -4.80291
8.77551 -2.2449 -3.58372
8.77551 -1.83673 -1.58832
8.77551 -1.42857 0.899476
8.77551 -1.02041 3.47695
8.77551 -0.612245 5.68764
8.77551 -0.204082 7.10172
8.77551 0.204082 7.10172
8.77551 0.612245 5.68764
8.77551 1.02041 3.47695
8.77551 1.42857 0.899476
8.77551 1.83673 -1.58832
8.77551 2.2449 -3.58372
8.77551 2.65306 -4.80291
8.77551 3.06122 -5.12041
8.77551 3.46939 -4.57738
8.77551 3.87755 -3.35953
8.77551 4.28571 -1.75076
8.77551 4.69388 -0.072714
8.77551 5.10204 1.37744
8.77551 5.5102 2.37938
8.77551 5.91837 2.82289
8.77551 6.32653 2.71703
8.77551 6.73469 2.17516
8.77551 7.14286 1.38058
8.77551 7.55102 0.540921
8.77551 7.95918 -0.158654
8.77551 8.36735 -0.593608
8.77551 8.77551 -0.722073
8.77551 9.18367 -0.586871
8.77551 9.59184 -0.297969
8.77551 10 0
9.18367 -10 0
9.18367 -9.59184 -0.078451
9.18367 -9.18367 -0.154515
9.18367 -8.77551 -0.190112
9.18367 -8.36735 -0.156289
9.18367 -7.95918 -0.0417715
9.18367 -7.55102 0.142417
9.18367 -7.14286 0.363488
9.18367 -6.73469 0.572688
9.18367 -6.32653 0.715355
9.18367 -5.91837 0.743228
9.18367 -5.5102 0.626457
9.18367 -5.10204 0.36266
9.18367 -4.69388 -0.0191446
9.18367 -4.28571 -0.46095
9.18367 -3.87755 -0.884518
9.18367 -3.46939 -1.20516
9.18367 -3.06122 -1.34813
9.18367 -2.65306 -1.26454
9.18367 -2.2449 -0.943543
9.18367 -1.83673 -0.418184
9.18367 -1.42857 0.236819
9.18367 -1.02041 0.915433
9.18367 -0.612245 1.49747
9.18367 -0.204082 1.86978
9.18367 0.204082 1.86978
9.18367 0.612245 1.49747
9.18367 1.02041 0.915433
9.18367 1.42857 0.236819
9.18367 1.83673 -0.418184
9.18367 2.2449 -0.943543
9.18367 2.65306 -1.26454
9.18367 3.06122 -1.34813
9.18367 3.46939 -1.20516
9.18367 3.87755 -0.884518
9.18367 4.28571 -0.46095
9.18367 4.69388 -0.0191446
9.18367 5.10204 0.36266
9.18367 5.5102 0.626457
9.18367 5.91837 0.743228
9.18367 6.32653 0.715355
9.18367 6.73469 0.572688
9.18367 7.14286 0.363488
9.18367 7.55102 0.142417
9.18367 7.95918 -0.0417715
9.18367 8.36735 -0.156289
9.18367 8.77551 -0.190112
9.18367 9.18367 -0.154515
9.18367 9.59184 -0.078451
9.18367 10 0
9.59184 -10 -0
9.59184 -9.59184 0.0273166
9.59184 -9.18367 0.0538019
9.59184 -8.77551 0.0661968
9.59184 -8.36735 0.0544196
9.59184 -7.95918 0.0145448
9.59184 -7.55102 -0.0495895
9.59184 -7.14286 -0.126566
9.59184 -6.73469 -0.19941
9.59184 -6.32653 -0.249086
9.59184 -5.91837 -0.258791
9.59184 -5.5102 -0.218132
9.59184 -5.10204 -0.126278
9.59184 -4.69388 0.00666613
9.59184 -4.28571 0.160503
9.59184 -3.87755 0.307989
9.59184 -3.46939 0.419636
9.59184 -3.06122 0.469418
9.59184 -2.65306 0.440311
9.59184 -2.2449 0.328541
9.59184 -1.83673 0.145611
9.59184 -1.42857 -0.0824603
9.59184 -1.02041 -0.318753
9.59184 -0.612245 -0.52142
9.59184 -0.204082 -0.651057
9.59184 0.204082 -0.651057
9.59184 0.612245 -0.52142
9.59184 1.02041 -0.318753
9.59184 1.42857 -0.0824603
9.59184 1.83673 0.145611
9.59184 2.2449 0.328541
9.59184 2.65306 0.440311
9.59184 3.06122 0.469418
9.59184 3.46939 0.419636
9.59184 3.87755 0.307989
9.59184 4.28571 0.160503
9.59184 4.69388 0.00666613
9.59184 5.10204 -0.126278
9.59184 5.5102 -0.218132
9.59184 5.91837 -0.258791
9.59184 6.32653 -0.249086
9.59184 6.73469 -0.19941
9.59184 7.14286 -0.126566
9.59184 7.55102 -0.0495895
9.59184 7.95918 0.0145448
9.59184 8.36735 0.0544196
9.59184 8.77551 0.0661968
9.59184 9.18367 0.0538019
9.59184 9.59184 0.0273166
9.59184 10 -0
10 -10 0
10 -9.59184 -0
10 -9.18367 -0
10 -8.77551 -0
10 -8.36735 -0
10 -7.95918 -0
10 -7.55102 0
10 -7.14286 0
10 -6.73469 0
10 -6.32653 0
10 -5.91837 0
10 -5.5102 0
10 -5.10204 0
10 -4.69388 -0
10 -4.28571 -0
10 -3.87755 -0
10 -3.46939 -0
10 -3.06122 -0
10 -2.65306 -0
10 -2.2449 -0
10 -1.83673 -0
10 -1.42857 0
10 -1.02041 0
10 -0.612245 0
10 -0.204082 0
10 0.204082 0
10 0.612245 0
10 1.02041 0
10 1.42857 0
10 1.83673 -0
10 2.2449 -0
10 2.65306 -0
10 3.06122 -0
10 3.46939 -0
10 3.87755 -0
10 4.28571 -0
10 4.69388 -0
10 5.10204 0
10 5.5102 0
10 5.91837 0
10 6.32653 0
10 6.73469 0
10 7.14286 0
10 7.55102 0
10 7.95918 -0
10 8.36735 -0
10 8.77551 -0
10 9.18367 -0
10 9.59184 -0
10 10 0
